specific,general
acute care nurse,accountant
adapted physical education specialist,actor
adhesive bonding machine operators and tender,actuary
administrative law judge,acupuncturist
administrative services manager,analyst
adult basic education,anesthesiologist
advanced practice psychiatric nurse,arbitrator
advertising and promotions manager,architect
advertising sales agent,archivist
aerospace engineer,astronomer
aerospace engineering and operations technologists and technician,atmospheric
agents and business managers of artist,audiologist
agricultural engineer,auditor
agricultural equipment operator,bailiff
agricultural inspector,baker
agricultural sciences teacher,barber
agricultural technician,barista
agricultural worker,bartender
air crew member,biologist
air crew officer,biostatistician
air traffic controller,boilermaker
aircraft cargo handling supervisor,bookkeeping
aircraft launch and recovery officer,captain
aircraft launch and recovery specialist,cardiologist
aircraft mechanics and service technician,carpenter
aircraft service attendant,cashier
aircraft structure,chemist
airfield operations specialist,chiropractor
airline pilot,choreographer
allergists and immunologist,clergy
ambulance drivers and attendant,concierge
amusement and recreation attendant,cook
anesthesiologist assistant,counselor
animal breeder,consultant
animal caretaker,curator
animal control worker,dancer
animal scientist,dentist
animal trainer,dermatologist
anthropologists and archeologist,designer
anthropology and archeology teacher,developer
appraisers and assessors of real estate,director
appraisers of personal and business property,dishwasher
architectural and civil drafter,dispatcher
architectural and engineering manager,drafter
architecture teacher,economist
armored assault vehicle crew member,editor
armored assault vehicle officer,electrician
art director,embalmer
art therapist,engineer
artillery and missile crew member,epidemiologist
artillery and missile officer,faller
artists and related worker,farmer
assemblers and fabricator,farmworker
athletes and sports competitor,firefighter
athletic trainer,forester
atmospheric and space scientist,fundraiser
audio and video technician,geneticist
audiovisual equipment installers and repairer,geographer
automotive and watercraft service attendant,geoscientist
automotive body and related repairer,glazier
automotive engineer,hairdresser
automotive engineering technician,head
automotive glass installers and repairer,helper
automotive service technicians and mechanic,historian
aviation inspector,histotechnologist
avionics technician,hospitalist
baggage porters and bellhop,hydrologist
bicycle repairer,infantry
bill and account collector,inspector
billing and posting clerk,intern
biochemists and biophysicist,interviewer
bioengineers and biomedical engineer,judge
biofuels processing technician,lawyer
biofuels production manager,lead
biofuels/biodiesel technology and product development manager,legislator
bioinformatics scientist,lifeguard
bioinformatics technician,logistician
biological science teacher,machinist
biological scientist,manager
biological technician,mathematician
biomass plant technician,microbiologist
biomass power plant manager,midwife
blockchain engineer,millwright
brickmasons and blockmason,model
bridge and lock tender,mortician
broadcast announcers and radio disc jockey,nanny
broadcast technician,neurologist
brokerage clerk,ophthalmologist
brownfield redevelopment specialists and site manager,optician
budget analyst,optometrist
building cleaning worker,orderly
bus and truck mechanics and diesel engine specialist,orthodontist
bus driver,orthoptist
business continuity planner,painter
business intelligence analyst,paperhanger
business operations specialist,paramedic
business teacher,patternmaker
butchers and meat cutter,pediatrician
buyers and purchasing agent,pharmacist
cabinetmakers and bench carpenter,phlebotomist
calibration technologists and technician,photographer
